content,_id,like_counts,ip_location,created_at,total_number,user_name,gender,content_length
诸位还是单身保平安,5095055947464893,13,天津,Wed Oct 30 06:04:21 +0800 2024,0,深爱的彼方,f,9
提升中考升学率，降低基础教育的难度,5094886606897600,6,湖北,Tue Oct 29 18:51:27 +0800 2024,0,有容乃大1951,m,17
贝因美涨的那么猛，原来是先知先觉呀。[疑问][允悲],5094851411969495,7,广东,Tue Oct 29 16:31:37 +0800 2024,1,流星集,m,26
说的好像很有意义但我不知道意义在哪,5094908195769113,10,北京,Tue Oct 29 20:17:15 +0800 2024,0,小风扇转鸭转,f,17
小恩小惠[二哈],5094867040735177,9,安徽,Tue Oct 29 17:33:43 +0800 2024,0,Gentle-刘先森,m,8
这还不如不发布呢,5094913027346633,7,四川,Tue Oct 29 20:36:27 +0800 2024,0,春Xiao,f,8
[笑cry],5094851894314893,1,辽宁,Tue Oct 29 16:33:32 +0800 2024,0,来自星星的糖果oo,f,6
"So big,So air",5094850166523027,5,北京,Tue Oct 29 16:26:40 +0800 2024,2,张憨人,m,13
什么时候灵活就业也能领生育津贴再说吧,5094904606754259,8,安徽,Tue Oct 29 20:02:59 +0800 2024,0,电风扇油面筋v,f,18
没有强制就是废纸一张,5095060036650360,3,上海,Wed Oct 30 06:20:37 +0800 2024,0,薛脑斧的小兔叽,f,10
体制内要四孩的在担惊受怕，生育支持没办法享受到一点[苦涩],5094988239078203,0,广东,Wed Oct 30 01:35:19 +0800 2024,0,独自美丽滴奥黛丽赫本,f,29
异地试管报销管一下吧[awsl],5094956735139770,2,山东,Tue Oct 29 23:30:08 +0800 2024,0,melodysha919,f,16
没有一个靠谱切实可执行的  弹性工作 只有公务员可以吧[苦涩],5094880127488656,8,北京,Tue Oct 29 18:25:43 +0800 2024,0,Maisie麦麦,f,31
别整那没用的，先把双休落实一下,5094867755601417,1,浙江,Tue Oct 29 17:36:34 +0800 2024,0,铁掌阿童木007,f,15
很多孕妇告诉公司后就被辞退了，违法辞退要给予保障,5094859933222193,3,北京,Tue Oct 29 17:05:28 +0800 2024,0,摆渡百人,m,24
要是幼儿园不用学费。一直到大学不用学费多好啊。奶粉钱也补贴到三岁。,5094954920051244,4,广东,Tue Oct 29 23:22:54 +0800 2024,2,马化teng是我老公,f,33
其实七十年代的很多政策真的是很人性化的，以前很多工作单位都有托儿所幼儿园，子弟小学中学甚至单位技工学校，单位有食堂宿舍区也有食堂，分配住房，产假，哺乳假，有些单位还有一年到三年的长期产假（薪资发放60%）……可惜现在单位都没了，都是打工者,5094926687932849,11,山西,Tue Oct 29 21:30:44 +0800 2024,0,用户散散扇扇,f,119
不太够呢感觉,5094897206169697,1,黑龙江,Tue Oct 29 19:33:35 +0800 2024,0,你说什么西内,f,6
@QYF雨中漫步: 农村小学，学校强制合并，收取延时课后服务费，算不算变相收费？加上餐费，一学期2000左右，国家说要减轻负担，减免学费，学费学杂费减免了，其实不然说减负其实是在增加负担，各种费用加起来总体是，增加了三倍的费用。,5095266537441254,0,北京,Wed Oct 30 20:01:10 +0800 2024,0,QYF雨中漫步,m,114
能实现一样我都要笑醒了,5095241768768471,0,湖北,Wed Oct 30 18:22:45 +0800 2024,0,米米25479,f,11
产假在哪里？,5095196758378786,0,河南,Wed Oct 30 15:23:54 +0800 2024,0,永666-,m,6
没一点实质性的,5095188576604080,0,北京,Wed Oct 30 14:51:23 +0800 2024,0,宋儿i,m,7
别想了，你一个干体力活，做流水线的是没有的，这种福利的，都是体制内大学生才有的福利,5095101053011986,1,北京,Wed Oct 30 09:03:36 +0800 2024,0,奇诺之旅765,m,41
能不能取消孕七个月前上夜班,5095078106499376,0,上海,Wed Oct 30 07:32:25 +0800 2024,0,奋斗青年宝姐姐,f,13
都是给……的福利，一般人哪能享受到了,5094955736895379,0,湖南,Tue Oct 29 23:26:10 +0800 2024,0,bingning2424,f,18
要想富，少生孩子多种树,5094949257480460,3,广西,Tue Oct 29 23:00:25 +0800 2024,0,宝刀还没老,m,11
搞租赁房？ 那和租房有毛区别，深井冰,5094948536057932,0,福建,Tue Oct 29 22:57:32 +0800 2024,0,滴水石出2018,m,18
请问空乘人员如何居家,5094945360183630,0,北京,Tue Oct 29 22:44:55 +0800 2024,0,金鱼猪晚晚,f,10
多发点工资，别降薪降绩效比什么都强[摊手],5094938568294591,0,陕西,Tue Oct 29 22:17:56 +0800 2024,0,喃拧在逃大锦鲤,f,21
招聘又担心女生怀孕，又鼓励大家生孩子。。。,5094934501135182,2,广东,Tue Oct 29 22:01:47 +0800 2024,0,是小黄橙,m,21
@wwry-,5094928906454397,1,上海,Tue Oct 29 21:39:33 +0800 2024,0,ShiningTeresa,f,6
这是在迫害女职工啊，女生还怎么找工作,5094924011966575,1,江苏,Tue Oct 29 21:20:06 +0800 2024,0,椰子先森516,f,18
我差点儿信了,5094893577308113,0,北京,Tue Oct 29 19:19:10 +0800 2024,0,Orangelinx,m,6
哪一个能落到实处[doge],5094883755036798,0,陕西,Tue Oct 29 18:40:08 +0800 2024,0,看球呢别叫,f,14
我因为胎停被公司辞退了都[苦涩][苦涩][苦涩][苦涩][苦涩][苦涩],5094878610457499,0,山西,Tue Oct 29 18:19:41 +0800 2024,0,玉Evelyn,f,36
落实完再说,5094872618897680,0,山东,Tue Oct 29 17:55:53 +0800 2024,0,_零一秒00,f,5
补贴的会从以后各个方面还回去吧。。。🙏,5094868508214938,2,重庆,Tue Oct 29 17:39:33 +0800 2024,0,颖子哆来咪发唆,f,19
有多少能落实？,5094868122600663,0,河南,Tue Oct 29 17:38:01 +0800 2024,0,丫丶旧-,m,7
[吃瓜]先把八小时和双休落实了再说吧[吃瓜],5094865530520363,4,新疆,Tue Oct 29 17:27:43 +0800 2024,0,浅笑哥哥,m,22
下个月就生能赶上不,5094864551150168,0,广东,Tue Oct 29 17:23:49 +0800 2024,1,Will婷儿,f,9
鼓励[doge],5094864427946279,0,福建,Tue Oct 29 17:23:20 +0800 2024,0,24年金城武,m,8
就说什么时候能落地实施？如果不能马上实施，现在生了，可以过几年还给解决问题不？[摊手],5094859617338140,0,北京,Tue Oct 29 17:04:13 +0800 2024,0,唯爱iou,f,43
都太虚了，说了好像没说,5094859612096399,5,北京,Tue Oct 29 17:04:12 +0800 2024,0,雨凉灰灰,m,11
@CCTV4 能不能呼吁保胎假[笑cry],5094856097269214,0,河北,Tue Oct 29 16:50:14 +0800 2024,0,无心菜子,f,21
快别提什么弹性上下班了，弹性＝7*24,5094856061881147,2,天津,Tue Oct 29 16:50:05 +0800 2024,0,刘赫豆_,f,19
所以两年之前延长的一个月产假的津贴什么时候给,5094855170590730,1,湖北,Tue Oct 29 16:46:33 +0800 2024,1,小_小海豚,f,22
每月一万到孩子十八岁，保证排队生孩子。,5094854575263818,7,浙江,Tue Oct 29 16:44:11 +0800 2024,2,小妮子vs坏坏,f,19
算了吧 第三个月 尊重公司告知公司 下个月要裁员我了 只给一个月 [感冒][摊手][摊手],5094956953768861,1,广东,Tue Oct 29 23:31:00 +0800 2024,0,西西先生的宝贝,f,45
落实的了吗？？？,5094865398401698,1,北京,Tue Oct 29 17:27:11 +0800 2024,0,慈慈的慈_,f,8
实行了再说吧[doge],5095465756394461,0,黑龙江,Thu Oct 31 09:12:48 +0800 2024,0,初落星辰下的雪,f,12
没有工作的女的咋办，,5095138621656252,0,陕西,Wed Oct 30 11:32:53 +0800 2024,0,如梦Dll,m,10
我笑的好大声[doge],5095076879403388,0,浙江,Wed Oct 30 07:27:33 +0800 2024,0,晨瑞懒就懒了吧,f,12
@難得像我,5094968080730338,0,贵州,Wed Oct 30 00:15:13 +0800 2024,0,mmmxxi,f,5
一年奖励十万就行了[可爱],5094866658788866,0,山东,Tue Oct 29 17:32:12 +0800 2024,0,该吃范了-,m,13
感觉都是鼓励公司、单位，那肯定没用的,5094866084171201,2,山东,Tue Oct 29 17:29:55 +0800 2024,0,章鱼喵zhangyumiao,f,18
地方很难落实,5094859007854407,0,广东,Tue Oct 29 17:01:48 +0800 2024,0,Alien_110,m,6
居家办公？又不是人人互联网,5094867434472551,3,北京,Tue Oct 29 17:35:17 +0800 2024,0,Huee--,f,13
民意代表没看到,5094856104083904,2,福建,Tue Oct 29 16:50:15 +0800 2024,0,来自猩星的kai,m,7
6点起来上学12点写完作业睡觉，好不容易考上大学，出来没工作。。生娃干啥？,5095156061831918,1,四川,Wed Oct 30 12:42:10 +0800 2024,0,芋圆红豆奶绿,f,37
还育儿假呢，我是青海某国有企业的，单位从来不给我们休育儿假，甚至不放在企业制度里，所以制度再好，企业不执行也是白费。,5094928474440273,2,青海,Tue Oct 29 21:37:49 +0800 2024,0,上蹿下跳的山小猴,f,58
先把南方幼儿园早餐晚餐普及比啥都强，放学时间延后，这才是根本，不然双职工没办法接送没时间做饭,5094880054871951,2,上海,Tue Oct 29 18:25:26 +0800 2024,1,Vicky小野丽猫,f,46
婚假就3天,5094867375493282,1,湖北,Tue Oct 29 17:35:03 +0800 2024,0,追光如闪,m,5
我就在意灵活就业的生育险是不是强制的，要是非得交，那对我来说就是单身税……白花一笔钱……,5094866835214725,1,北京,Tue Oct 29 17:32:54 +0800 2024,0,黄然然hrr,f,44
先解决8小时工作制和双休吧[允悲],5094866553670513,2,新疆,Tue Oct 29 17:31:47 +0800 2024,0,没出息的小叫花,m,17
在这纸上谈兵一点儿不顾及现实,5094866380128673,2,河南,Tue Oct 29 17:31:05 +0800 2024,0,不-关山xc,m,14
休假都落实不了，还想弹性上下班居家办公[doge],5094861251807267,3,福建,Tue Oct 29 17:10:43 +0800 2024,0,梧桐台蛙6,f,25
怎么感觉又说了一堆没用的[泪]，能不能从怀孕到生产的各项检查费都报销一下，重庆目前就只给补贴500块。,5094859610523514,1,重庆,Tue Oct 29 17:04:12 +0800 2024,0,係阿嬌,f,51
说了半天没有点实际的 怎么都这么虚,5094856843594394,3,天津,Tue Oct 29 16:53:12 +0800 2024,0,兔子不二_Echo,f,17
曰了等于没曰,5094856454572027,1,安徽,Tue Oct 29 16:51:39 +0800 2024,0,一朵纳蘭,f,6
兰博基尼5元优惠券[哇],5094856219690247,1,贵州,Tue Oct 29 16:50:43 +0800 2024,0,被窝最好了-,f,12
先把周末双休落实了我就信[doge],5094855544411775,1,江苏,Tue Oct 29 16:48:02 +0800 2024,0,glycoprivouscedric,m,18
产假休158天实际津贴只发128天能给补吗,5094855262342202,2,天津,Tue Oct 29 16:46:55 +0800 2024,0,哇哈哈799,f,21
呵呵，gp不通,5094855073860972,2,江苏,Tue Oct 29 16:46:10 +0800 2024,0,家有lulu小宝,m,7
劳务外包，同工不同薪,5094855038469936,2,浙江,Tue Oct 29 16:46:01 +0800 2024,0,爱笑的美小妞,m,10
地方啥时候才能落地噢[允悲],5100882914707872,0,贵州,Fri Nov 15 07:58:39 +0800 2024,0,阿鲁的丸子,f,14
50元兰博基尼代金券，有p用,5095602235116546,0,上海,Thu Oct 31 18:15:07 +0800 2024,0,qzuser04816快乐,m,14
孩子尽量别多生，最好不要，受苦受累受气，花钱花时间精力，多享受自己的生活,5095455910270131,0,北京,Thu Oct 31 08:33:41 +0800 2024,0,长安街向东去,m,36
[doge][doge],5095448811668330,0,山东,Thu Oct 31 08:05:28 +0800 2024,0,我爱吃炸肉,m,12
[摊手][摊手][摊手]怎么发了的生育津贴让我退回去呢,5095217927554812,0,广东,Wed Oct 30 16:48:01 +0800 2024,0,_Elanneeeee,f,27
我就是老二之后，单位把居家办公要求去异地办公，所以在哺乳期被迫离职[泪],5095195081968248,0,天津,Wed Oct 30 15:17:14 +0800 2024,0,硕博申请-薇薇安老师,f,36
[笑cry],5095187879298303,0,河北,Wed Oct 30 14:48:37 +0800 2024,0,风雨同舟163,m,6
i w as&ruu7uuuuwuuu7uuuu wzzzzzjuetyyrriiii,5095178971384019,0,浙江,Wed Oct 30 14:13:13 +0800 2024,0,用户无心海棠,m,43
假大空[doge]我就想知道我产假结束前能不能落实？,5095173710941157,0,北京,Wed Oct 30 13:52:19 +0800 2024,0,望_不负此生,f,26
大学生找不到工作，生啥！,5095163068419798,0,山东,Wed Oct 30 13:10:02 +0800 2024,0,越溪樵风,m,12
空对空，没有一个实际的,5095157966048507,0,上海,Wed Oct 30 12:49:45 +0800 2024,0,宝贝薇薇56971,m,11
都是大白话，让人一看就懂[允悲],5095150217071681,0,湖南,Wed Oct 30 12:18:58 +0800 2024,0,悠丷哉游武当山,m,16
不如生一个孩子给50万,5095146938435091,0,河南,Wed Oct 30 12:05:56 +0800 2024,0,生命中的那片海,m,11
有钱的生，多生,5095146126051997,0,江苏,Wed Oct 30 12:02:42 +0800 2024,0,AA沙A粒AA,m,7
除非发房子发钱不然我不会想生,5095132989489844,0,广西,Wed Oct 30 11:10:30 +0800 2024,0,lolololo_ve8,m,14
看到就想笑,5095125805960223,0,广东,Wed Oct 30 10:41:58 +0800 2024,0,下箱子,m,5
看起来可以,5095125698744010,0,广东,Wed Oct 30 10:41:32 +0800 2024,0,师夷制夷1314880,m,5
小升初的划片区摇号根本和划片区摇号没有关系，都是骗人的,5095125080608405,0,重庆,Wed Oct 30 10:39:05 +0800 2024,0,何其有幸v,m,27
刚结婚未生育的女的压根就找不到工作   怕休产假,5095116732367724,0,甘肃,Wed Oct 30 10:05:54 +0800 2024,0,逗比别闹先生7087,f,24
说都很多，但是一点也不具体，广而不精,5095108261446892,0,重庆,Wed Oct 30 09:32:15 +0800 2024,0,进步魔术,m,18
没一个是实在的。那就耗着吧，看最后谁着急。,5095098520699124,0,新疆,Wed Oct 30 08:53:31 +0800 2024,0,Miss布偶猫,f,21
放个假还天天开会。不想以后后代过这种日子。,5095093742340922,0,山东,Wed Oct 30 08:34:33 +0800 2024,0,摩西_3123,m,21
全是各种支持没有实质性落实政策,5095091662228461,0,江西,Wed Oct 30 08:26:17 +0800 2024,0,西西西柚-,f,15
只发这些信息，什么时候能落实到个人呢？[允悲],5095090863473459,0,北京,Wed Oct 30 08:23:07 +0800 2024,0,stre耶,f,23
含糊其辞，模模糊糊,5095090516921451,0,黑龙江,Wed Oct 30 08:21:44 +0800 2024,0,云中漫步我逍遥,m,9
省流：一堆空话[春游家族],5095089108681995,0,江西,Wed Oct 30 08:16:08 +0800 2024,0,稀碎虎子,f,13
为什么不关闭pl？,5095084629164918,0,上海,Wed Oct 30 07:58:20 +0800 2024,0,做题开头写个解,m,9
画饼都画不好,5095082757721511,0,江苏,Wed Oct 30 07:50:54 +0800 2024,0,来自天堂的悉心,m,6
我82年的父母交罚款到十几岁现在让我们多要孩子[嘻嘻][嘻嘻][嘻嘻][嘻嘻]可笑不,5095081877438560,0,河北,Wed Oct 30 07:47:23 +0800 2024,0,身不由己心往燃,f,42
好像说了什么又好像没说，到底说没说,5095080353858870,0,天津,Wed Oct 30 07:41:21 +0800 2024,0,欣欣小妹儿2000,f,17
“鼓励”“督促”“探索”“支持”我还以为出具体规定了呢,5095079583418095,0,福建,Wed Oct 30 07:38:17 +0800 2024,0,用户乱码-,f,27
少生优生幸福一生[嘻嘻][嘻嘻][嘻嘻][嘻嘻][嘻嘻],5095078320669414,0,北京,Wed Oct 30 07:33:16 +0800 2024,0,一生无悔41607,m,28
农村人呢，说说清楚[允悲][允悲],5095077079419250,0,江苏,Wed Oct 30 07:28:20 +0800 2024,0,我爱喝酸奶8023,f,17
老规矩，谁谁请客，谁谁买单,5095077062642129,0,天津,Wed Oct 30 07:28:16 +0800 2024,0,最乖小白,m,13
重点还是在卖房子那一部分啊，其他的都可以一眼略过了,5095075207708685,0,广东,Wed Oct 30 07:20:53 +0800 2024,0,我是病骄控,m,25
来点实际的，别喊口号,5095073097976448,0,河北,Wed Oct 30 07:12:31 +0800 2024,0,f4ding,m,10
一个孩子，每年领五万元补助至十八岁，百分之九十五以上家庭会多生。,5095073086178481,0,陕西,Wed Oct 30 07:12:28 +0800 2024,0,拙尔朴92704,m,32
人都被片麻木了,5095071634687704,0,福建,Wed Oct 30 07:06:42 +0800 2024,0,依鼓,m,7
发钱和发政策之间，依然选择了发文,5095071139758542,0,陕西,Wed Oct 30 07:04:44 +0800 2024,0,不要说话8089,f,16
调查家有老人重大疾病单位补贴，只调查数据不补贴[允悲][允悲][允悲],5095070615471766,0,河北,Wed Oct 30 07:02:39 +0800 2024,0,雪地里生存的玫瑰,f,35
这些条件，力度不够，一样力不从心,5095070196565756,0,河北,Wed Oct 30 07:00:59 +0800 2024,0,雪地里生存的玫瑰,f,16
早干什么了？,5095069397025853,0,河南,Wed Oct 30 06:57:49 +0800 2024,0,哥哥-199412,m,6
我就不生[打call][打call][打call][送花花][送花花][送花花][送花花][送花花],5095069037887982,0,河北,Wed Oct 30 06:56:23 +0800 2024,0,还有多远QQQQ,m,50
女职工求职更难了[笑cry],5095066164790345,0,江西,Wed Oct 30 06:44:58 +0800 2024,0,张张znx,f,14
买车送纸抽[doge],5095065311513233,0,黑龙江,Wed Oct 30 06:41:35 +0800 2024,0,Song美好,m,11
我以为要奖励100万，结果看来还是不会生,5095062235776462,0,四川,Wed Oct 30 06:29:21 +0800 2024,0,纺织619,m,20
退休年限说不定以后还要增加[允悲],5095061585658670,0,上海,Wed Oct 30 06:26:46 +0800 2024,0,益_崽,m,17
长长的图，那么多字，没一个字是有用的,5095060827800506,0,云南,Wed Oct 30 06:23:46 +0800 2024,0,鲁丹丹Amy,f,18
就是一套上亿的物品给100元的优惠券,5095060453195861,1,云南,Wed Oct 30 06:22:15 +0800 2024,0,鲁丹丹Amy,f,18
有几条还在探索呢 等他探索完再说吧,5095059803079046,0,上海,Wed Oct 30 06:19:41 +0800 2024,0,QP大斌,m,17
他们总喜欢把人分成三六九等。,5095058968151101,0,福建,Wed Oct 30 06:16:22 +0800 2024,0,云舒舒地盘,m,14
我就相信一句话，少生幸福一生。,5094962884513121,0,江苏,Tue Oct 29 23:54:34 +0800 2024,0,康先生0000,m,15
一胎，我老婆没上班，想用我的生育津贴报，叫我要结扎[嘘][嘘][嘘],5094959307561046,0,福建,Tue Oct 29 23:40:21 +0800 2024,0,起来干饭了,m,34
不知道育儿假等假期和弹性上下班居家办公能不能落实,5094949672455164,0,河南,Tue Oct 29 23:02:04 +0800 2024,0,小锦鲤ccc,f,24
能把出生到成年的所有医疗教育费用能报销就生,5094948947629246,0,江苏,Tue Oct 29 22:59:11 +0800 2024,1,这项目我吴多余投了,f,21
全是车轱辘话  一点实的都没有,5094947625370345,0,浙江,Tue Oct 29 22:53:55 +0800 2024,0,宇宙和太阳_,f,15
一看见鼓励就知道白搭,5094947413823045,0,山西,Tue Oct 29 22:53:05 +0800 2024,0,波波不算昵称,f,10
育儿假也能像产假一样，完全都能休上就好了。,5094946710749354,0,吉林,Tue Oct 29 22:50:17 +0800 2024,0,JiaRen0411,f,21
能不能落实又是一回事,5094945780403838,0,江苏,Tue Oct 29 22:46:36 +0800 2024,0,疯儿一样的女纸,f,10
这语言表达给足了弹性空间了,5094944276743071,0,湖南,Tue Oct 29 22:40:38 +0800 2024,0,小茗nana,f,13
假期158天的，永远98天谁来监督一下,5094943875401371,0,山西,Tue Oct 29 22:39:02 +0800 2024,0,xx李哈哈,f,19
还是想想怎么先鼓励生一胎吧，生一胎都难，哪来的二胎三胎[doge],5094943509185876,0,云南,Tue Oct 29 22:37:35 +0800 2024,0,忽而今夏923,f,33
都是些假大空[二哈],5094941472327764,0,广东,Tue Oct 29 22:29:29 +0800 2024,0,键盘侠_本侠,m,10
就补贴这个来说  怀孕上班的有补贴 怀孕没上班的就没有补贴吗？,5094940948042075,0,安徽,Tue Oct 29 22:27:24 +0800 2024,0,AbbyabbieFc,f,31
请问？生完二胎的呢？在上班 没感觉有什么让我值得开心的政策,5094935856677216,0,上海,Tue Oct 29 22:07:09 +0800 2024,0,粉红颜色的猪,f,29
广东人不用催，第三胎已经在幼儿园，坐标中山，公办的幼儿园5500一个学期，伙食8元一餐。普通普惠的幼儿园贵2000多一个学期,5094935517465292,0,广东,Tue Oct 29 22:05:49 +0800 2024,1,暴富的圆滚滚,f,62
社区嵌入式托育[赞]，现在上班族产假结束后宝宝何去何从？[泪],5094934405714466,0,山东,Tue Oct 29 22:01:24 +0800 2024,0,勤劳的passenger018,m,31
竟说那没用的 小县城得什么时候享受到 连个假期都不达标,5094929665363452,0,辽宁,Tue Oct 29 21:42:34 +0800 2024,0,湯墨尘尘尘,f,27
女生除了刚毕业好找工作，哪个年龄段都很难啊。适龄单身时问我有没有男朋友，已婚未育时直接pass,5094926415563641,1,广东,Tue Oct 29 21:29:39 +0800 2024,0,minmiaa,f,47
两个世界的人[笑cry],5094926186714144,0,湖南,Tue Oct 29 21:28:45 +0800 2024,0,爱吃糖油坨坨,m,12
少生优生，幸福一生,5094925995087082,0,广东,Tue Oct 29 21:27:59 +0800 2024,0,不敢发声的哑巴,m,9
说了等于没说[哈哈]就说给多少钱就好,5094922992486245,0,广西,Tue Oct 29 21:16:03 +0800 2024,0,Halo忻蔓,f,18
我们这说有500块钱补贴，孩子都快一岁了，钱还没到账[允悲],5094922340270293,0,湖北,Tue Oct 29 21:13:27 +0800 2024,0,奇怪的世界_,f,30
女的产假越多越找不到工作,5094922334772592,0,四川,Tue Oct 29 21:13:26 +0800 2024,0,choclattt,f,12
先男的也强制一起过产假呗[融化],5094921817820992,0,四川,Tue Oct 29 21:11:23 +0800 2024,0,choclattt,f,16
看完了，省流。贯彻会议精神，坚持发展思想，健全服务体系，提供有力支撑，强化服务支持，加强体系建设，强化支持措施，营造社会氛围，细化具体措施，落实多方责任，确保取得实效。,5094920077708626,0,广东,Tue Oct 29 21:04:28 +0800 2024,0,heiming黑明,m,84
又成功地加大了女性就业的阻力[拜拜],5094918416762002,0,广东,Tue Oct 29 20:57:51 +0800 2024,0,熱牛奶沖豆漿,f,18
又发上兰博基尼五十元优惠券了[打call][打call][打call],5094917517083091,0,北京,Tue Oct 29 20:54:17 +0800 2024,0,晓煦瘦了,f,35
所以什么时候落实呢,5094916132965885,0,福建,Tue Oct 29 20:48:48 +0800 2024,0,老虎和企鹅,f,9
完全的空话嘛,5094909838890038,0,云南,Tue Oct 29 20:23:47 +0800 2024,0,你也叫星星咩,f,6
头胎有吗补贴多少，我还没生还有机会[doge],5094908052639995,0,广西,Tue Oct 29 20:16:41 +0800 2024,0,美多多记录美好,f,23
说了，又好像没说。,5094904486954620,0,山东,Tue Oct 29 20:02:31 +0800 2024,0,哼大人Serena,f,9
没有看到一点实质性的东西,5094901559069892,0,广东,Tue Oct 29 19:50:53 +0800 2024,0,妈咪妈咪哄_69626,f,12
就是个笑话,5094899596399043,0,广东,Tue Oct 29 19:43:05 +0800 2024,0,KIMBONGSS,m,5
育儿假，我的公司没落实[泪],5094897398580819,0,江苏,Tue Oct 29 19:34:21 +0800 2024,0,peony木木,f,14
我想知道哪个单位因为劳动者怀孕让你居家办公？[老师好][老师好][老师好][老师好][老师好][老师好][老师好][老师好][老师好][老师好]我谢谢你，说点实话吧[笑cry],5094896068989989,0,北京,Tue Oct 29 19:29:04 +0800 2024,1,煎饼果资,f,88
如说[doge],5094895294088347,0,河北,Tue Oct 29 19:25:59 +0800 2024,0,漫漫走Ya,f,8
生小孩还不全是钱的问题，当然如果很多很多的话就另外说了。但是如果补贴一点点大可不必，生了谁带，工资高的人没时间带，工资3000左右的有点时间又养不起。老师默认家长有一个是全职的，随传随到，各种义务。,5094895169831043,0,广东,Tue Oct 29 19:25:29 +0800 2024,0,婚礼上的插曲,f,99
很有意义的一点：租购房享同等福利，让很多孩子可以就近上学。曾几何时，凭什么不能同等权利上学，有谁不想买房呢，,5094894534398832,0,广西,Tue Oct 29 19:22:58 +0800 2024,0,ifaithshine,m,54
鼓励有条件……我没条件。,5094893552668692,0,广西,Tue Oct 29 19:19:04 +0800 2024,0,ifaithshine,m,12
说得比谁都好听[可爱],5094892300929037,0,湖南,Tue Oct 29 19:14:06 +0800 2024,0,昵称不存在的hhhh,f,11
休假比发钱还不现实[挖鼻],5094888695140034,0,四川,Tue Oct 29 18:59:46 +0800 2024,0,Jasmine-苟文文,f,13
意思是态度我给了，你爱生不生,5094888402851150,0,山东,Tue Oct 29 18:58:36 +0800 2024,0,荒菽明月,m,14
不生是你们的福报啊,5094885265244258,0,上海,Tue Oct 29 18:46:07 +0800 2024,0,lory_PBNPs,m,9
哈哈哈哈，没有一条好好享受到[允悲],5094884987636773,0,浙江,Tue Oct 29 18:45:02 +0800 2024,0,今天也是想发财的兔子,f,18
