content,_id,like_counts,ip_location,created_at,total_number,user_name,gender
这只很少的地方政策！也覆盖面太少了！,5094738458051089,5,来自湖北,Tue Oct 29 09:02:46 +0800 2024,0,鱼尾259695,f
7000埋汰谁呢，生育机器只配7000？[允悲],5094727183763544,1,来自上海,Tue Oct 29 08:17:59 +0800 2024,0,TD粉-GD粉-小日子小棒子早日灭,f
你这话说得像pxx9.9快来薅羊毛,5094723461055754,1,来自北京,Tue Oct 29 08:03:11 +0800 2024,0,是什么跑得飞快,f
7000一个月，我还能考虑下；一次性的就是打发叫花子…,5094721718323506,1,来自湖北,Tue Oct 29 07:56:16 +0800 2024,0,Kimi725000,f
只能 90 后努力不生，下一代想生的时候环境才会好，前人栽树，后人乘凉，我们是享受不到了,5094721271105260,1,来自上海,Tue Oct 29 07:54:29 +0800 2024,0,实在不想上班可以退休吗,f
没有caizhengbu下场 都是空谈,5094720533430643,0,来自北京,Tue Oct 29 07:51:33 +0800 2024,0,徐三当家000,f
每月7000的话可以考虑一下[思考],5094719425873091,1,来自浙江,Tue Oct 29 07:47:09 +0800 2024,0,三级智障鉴定证书持有者,m
好事都得托关系，不用托关系还给奖励的事[笑cry]谁信谁就是韭菜,5094717610787689,1,来自北京,Tue Oct 29 07:39:56 +0800 2024,0,小超人zbh,m
什么时候奖励真钱，免幼儿园费用，还奖钱的时候，我已经生不动了。,5094717056878520,1,来自广东,Tue Oct 29 07:37:44 +0800 2024,0,大大的许小玲,f
一年的奶粉钱都不够,5094716364031876,2,来自安徽,Tue Oct 29 07:34:59 +0800 2024,0,MM昵称被人占用了,f
养活自己都费劲，买奶粉钱都赚不到，谁还想着生孩子？,5094713272567907,1,来自山东,Tue Oct 29 07:22:42 +0800 2024,0,Super小马GOGOGO,m
多少钱一条啊,5094712197513590,0,来自湖北,Tue Oct 29 07:18:26 +0800 2024,0,记录365天的小日子,f
杯水车薪,5094710954427084,0,来自上海,Tue Oct 29 07:13:29 +0800 2024,0,已经不惑的心,f
没用,5094710320563507,0,来自四川,Tue Oct 29 07:10:58 +0800 2024,0,冰凌儿Ann,f
少生孩子多种树，从此走上幸福路！独生子女好，国家给养老！[允悲][允悲][允悲],5094709162411220,0,来自江苏,Tue Oct 29 07:06:22 +0800 2024,0,大海的店铺,m
每个月7000就生,5094707294372955,2,来自广东,Tue Oct 29 06:58:57 +0800 2024,0,Dote-on先森,f
先把房价调下来 工资调上去再说 养孩子七千请月嫂都不够[doge],5094705815617726,0,来自黑龙江,Tue Oct 29 06:53:03 +0800 2024,0,木木泛逸舟,f
只生一个好，国家来养老,5094696403600616,0,来自辽宁,Tue Oct 29 06:15:40 +0800 2024,0,晴朗0411,m
我这就不懂了，生一个孩子7000块钱有卵用？我们缺都是那7000？,5094672709452539,1,来自天津,Tue Oct 29 04:41:31 +0800 2024,0,代表银河系消灭你吖,m
奖励个五千一万两万，是够几十年的上百万是吧，那祝你一胎生十八个，连生十胎,5094658969698951,1,来自福建,Tue Oct 29 03:46:55 +0800 2024,0,裴秋黎,f
你自己算算你说的那些数和一万三哪个多,5094655034655766,0,来自福建,Tue Oct 29 03:31:17 +0800 2024,0,阿介是刺客啊,m
谁家大学一年四万啊，正经大学一年学费不到八千[允悲],5094653038428909,0,来自广西,Tue Oct 29 03:23:21 +0800 2024,0,yyzz柚子_,f
[偷笑]每个月发7000还差不多,5094640930259085,0,来自江苏,Tue Oct 29 02:35:14 +0800 2024,0,MY9498,f
7000连产检都怕是不够吧，笑死人,5094637385810282,1,来自广东,Tue Oct 29 02:21:09 +0800 2024,0,台词文案bot,f
7千又不是7万，七十万，七百万，这也值得发出来！都不够奶粉钱,5094623301076270,0,来自福建,Tue Oct 29 01:25:11 +0800 2024,0,Zero青衣,f
青岛买房付完首付一百多万的房贷 加上利息差不多负债两百万 找工作月工资三四千还单休 很多公司还没有公积金 市场是你不干总有人干 而且现在经济市场低迷  哪天失业房贷都还不上 根本病都不敢生 [微笑]奖励七千产检都不够 普通人家里又没有扶持的 住房基础的生存需求都解决不了 当下情况谁敢生[doge],5094607895396424,0,来自山东,Tue Oct 29 00:23:57 +0800 2024,0,柠檬多多冰-,f
你收多少告诉我呗？有钱大伙一起赚,5094606574454974,0,来自辽宁,Tue Oct 29 00:18:43 +0800 2024,0,别来污我眼睛,f
九牛一毛[微笑],5094604078056255,0,来自湖南,Tue Oct 29 00:08:47 +0800 2024,0,无辣不欢730,f
差你这7000了？,5094602583316314,0,来自山东,Tue Oct 29 00:02:51 +0800 2024,0,吃海藻的小蚂蚱,f
"太累了,给再多也不要，命要紧",5094601467626357,1,来自四川,Mon Oct 28 23:58:25 +0800 2024,0,米姐66,f
胡扯吧，我在一家公司上了五年班，怀孕两个月就把我辞退了，说是公司要注销，我离职后公司业务正常,5094599502071364,0,来自宁夏,Mon Oct 28 23:50:37 +0800 2024,0,A小尾巴兔兔ALICE,m
不够幼儿园半学期学费[笑cry],5094597952804179,0,来自四川,Mon Oct 28 23:44:27 +0800 2024,0,涪江河畔吴小涛,m
最可悲的是什么你知道吗？小学到初中虽然是义务教育，但是学校变着法的在学生身上挣钱，哈哈哈，这才是最大的讽刺,5094597722112938,1,来自四川,Mon Oct 28 23:43:32 +0800 2024,0,从头开始到结束,m
让公务员先生5个[嘻嘻],5094597286169174,2,来自四川,Mon Oct 28 23:41:49 +0800 2024,0,我打王者凶的批爆,m
大家别被境外势力带节奏，该生不生、后悔一生！,5094596546137844,1,来自贵州,Mon Oct 28 23:38:52 +0800 2024,0,徐大w0mDiaO,f
奥斯莱斯五元抵用劵,5094596180184617,1,来自江苏,Mon Oct 28 23:37:25 +0800 2024,0,AshAshRock,m
先解决就业问题再说，年轻人自己都养不活自己了还有闲钱养小孩？,5094595345779933,1,来自湖南,Mon Oct 28 23:34:06 +0800 2024,0,野生砂,m
什么玩意学校食堂每个月两千？每个月八百！零食两百！大学一个月一千！,5094594221443984,0,来自江苏,Mon Oct 28 23:29:38 +0800 2024,0,金樽不应空对月,m
怎么养，报个培训班还被卷跑钱,5094592166494589,3,来自北京,Mon Oct 28 23:21:27 +0800 2024,0,Ivy_夜月,f
还没之前二胎罚的多,5094591831214828,0,来自湖南,Mon Oct 28 23:20:08 +0800 2024,0,qusibbaidu,m
看到这个朋友，庆幸只生了一个呀[融化],5094591340481364,0,来自湖北,Mon Oct 28 23:18:11 +0800 2024,0,Lawyer行子,f
有个毛线奖励,5094590740432398,1,来自广东,Mon Oct 28 23:15:48 +0800 2024,0,龙行龘龘-小昭,m
什么都说了 又好像什么也没说,5094590492971723,0,来自四川,Mon Oct 28 23:14:49 +0800 2024,0,此处应有评论,m
7000奶粉钱都不够,5094588655866730,0,来自山东,Mon Oct 28 23:07:31 +0800 2024,0,黛小诗dailin,f
收入，精力，加班，休闲时间，教育压力，住房，这些解决了，相信，大部分年轻人，愿意结婚，生娃[心][心][心][心][心][心][心][打call][打call][打call][打call][打call][打call],5094605259279059,1,来自江苏,Tue Oct 29 00:13:29 +0800 2024,0,我娘是司令,m
公务员体制内有编制的优先生,5094705039673850,0,来自江苏,Tue Oct 29 06:49:59 +0800 2024,0,Shao明珠求瑕,m
你加油，努力生三个！,5094598883937133,0,来自德国,Mon Oct 28 23:48:09 +0800 2024,0,Dec_1114,m
不够老师组织班补的[允悲],5094592399802391,0,来自辽宁,Mon Oct 28 23:22:23 +0800 2024,0,dghhjjvvddujnhdsdhjffyhfgf,f
这都是啥生物奖励措施,5094588740537765,3,来自上海,Mon Oct 28 23:07:51 +0800 2024,1,兼职特工,m
7000一个月都不够，拜托调查下真正不生的原因吧，十年前找工作3000元一个月，十年后还是3000元一个月，这一点说明啥？经济发展了，工资没发展啊！以前朝九晚六周末双休工作一大把，现在996模式，甚至有的人连假期都没有，谁有时间恋爱结婚生子带孩子？,5094737141042123,1,来自四川,Tue Oct 29 08:57:33 +0800 2024,0,薰闷闷,f
你我皆牛马,5094691080504263,0,来自浙江,Tue Oct 29 05:54:31 +0800 2024,0,用户7183202379,m
说实话给7万我都不敢生,5094638413152303,0,来自辽宁,Tue Oct 29 02:25:13 +0800 2024,0,uli80后,f
7000有什么用,5094608820506059,0,来自重庆,Tue Oct 29 00:27:39 +0800 2024,0,用户7690720987,f
35+准入歧视在前，自己都不知道能不能过关，真的很难再加个负担,5094606780239205,0,来自四川,Tue Oct 29 00:19:32 +0800 2024,0,用户7282613763,m
少点一年都得花两三万,5094596243098340,0,来自浙江,Mon Oct 28 23:37:40 +0800 2024,0,用户7551295046,f
确实，现在生孩子有很多政策支持，养孩子的成本也越来越高，真是得好好规划！,5094582985687812,0,来自福建,Mon Oct 28 22:44:58 +0800 2024,0,恋爱困倒少女x,f
你多生几个，生不死你,5094760184285587,0,来自陕西,Tue Oct 29 10:29:07 +0800 2024,0,犯点什么坏事好呢,f
不懂就问，领导们不应该先带头么 三胎起步,5094596719676701,0,来自浙江,Mon Oct 28 23:39:33 +0800 2024,0,动感光波piupi,f
我就不懂为啥双胞胎不算二孩？,5094593928103577,0,来自四川,Mon Oct 28 23:28:28 +0800 2024,0,漠鸢MY_12464,f
